2020-04-09 14:41:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:42:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	775.346, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:42:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	775.346, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:42:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	775.346, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:42:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	775.346, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:43:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9993, 	795.06, 	1.070750%, 	0.460000%, 	0.610750%
2020-04-09 14:43:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9993, 	795.06, 	1.070750%, 	0.460000%, 	0.610750%
2020-04-09 14:43:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	4998.713, 	1.080865%, 	0.460000%, 	0.620865%
2020-04-09 14:43:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	795.06, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:44:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	795.06, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:44:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	795.06, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:44:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	795.06, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:44:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	795.06, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:45:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	795.06, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:45:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	795.06, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:45:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	795.06, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:45:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:46:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:46:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:46:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:46:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:47:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:47:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:47:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	5793.79, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:47:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:48:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:48:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:48:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:48:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:49:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:49:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:49:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:49:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:50:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:50:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:50:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:50:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:51:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:51:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:51:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
