2020-04-08 18:47:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03398, 	141.30797, 	0.591524%, 	0.410000%, 	0.181524%
2020-04-08 18:47:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03398, 	141.30797, 	0.591524%, 	0.410000%, 	0.181524%
2020-04-08 18:47:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03398, 	15.0, 	0.591524%, 	0.410000%, 	0.181524%
2020-04-08 18:47:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03398, 	15.0, 	0.591524%, 	0.410000%, 	0.181524%
2020-04-08 18:48:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03399, 	15.0, 	0.561930%, 	0.410000%, 	0.151930%
2020-04-08 18:48:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.034, 	216.70265, 	0.532353%, 	0.410000%, 	0.122353%
2020-04-08 18:48:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03396, 	267.78571, 	0.650766%, 	0.410000%, 	0.240766%
2020-04-08 18:48:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03395, 	15.0, 	0.680412%, 	0.410000%, 	0.270412%
2020-04-08 18:49:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034181, 	59.053, 	0.03392, 	15.0, 	0.769458%, 	0.410000%, 	0.359458%
2020-04-08 18:49:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034183, 	59.05, 	0.0339, 	15.0, 	0.834808%, 	0.410000%, 	0.424808%
2020-04-08 18:49:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034184, 	0.961, 	0.03387, 	15.0, 	0.927074%, 	0.410000%, 	0.517074%
2020-04-08 18:49:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034184, 	59.048, 	0.0339, 	15.0, 	0.837758%, 	0.410000%, 	0.427758%
2020-04-08 18:50:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034184, 	59.048, 	0.03392, 	15.0, 	0.778302%, 	0.410000%, 	0.368302%
2020-04-08 18:50:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034184, 	59.048, 	0.03392, 	527.82116, 	0.778302%, 	0.410000%, 	0.368302%
2020-04-08 18:50:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	59.045, 	0.03392, 	15.0, 	0.784198%, 	0.410000%, 	0.374198%
2020-04-08 18:50:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	85.266, 	0.03394, 	28.47984, 	0.724808%, 	0.410000%, 	0.314808%
2020-04-08 18:51:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034188, 	59.041, 	0.03393, 	141.45241, 	0.760389%, 	0.410000%, 	0.350389%
2020-04-08 18:51:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034189, 	59.04, 	0.03393, 	15.0, 	0.763336%, 	0.410000%, 	0.353336%
2020-04-08 18:51:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034187, 	59.043, 	0.03391, 	287.89646, 	0.816868%, 	0.410000%, 	0.406868%
2020-04-08 18:51:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	24.219, 	0.0339, 	141.54179, 	0.843658%, 	0.410000%, 	0.433658%
2020-04-08 18:52:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	24.219, 	0.03389, 	274.85, 	0.873414%, 	0.410000%, 	0.463414%
2020-04-08 18:52:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	22.219, 	0.03389, 	15.0, 	0.873414%, 	0.410000%, 	0.463414%
2020-04-08 18:52:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	81.263, 	0.03389, 	275.10991, 	0.873414%, 	0.410000%, 	0.463414%
2020-04-08 18:52:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339, 	394.81982, 	0.758112%, 	0.410000%, 	0.348112%
2020-04-08 18:53:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339, 	394.81982, 	0.758112%, 	0.410000%, 	0.348112%
2020-04-08 18:53:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339, 	394.81982, 	0.758112%, 	0.410000%, 	0.348112%
2020-04-08 18:53:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389, 	401.59551, 	0.787843%, 	0.410000%, 	0.377843%
2020-04-08 18:53:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034161, 	59.088, 	0.03389, 	528.2426, 	0.799646%, 	0.410000%, 	0.389646%
2020-04-08 18:54:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389, 	781.61074, 	0.787843%, 	0.410000%, 	0.377843%
2020-04-08 18:54:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386, 	15.0, 	0.877141%, 	0.410000%, 	0.467141%
