2020-04-11 18:13:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:13:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:13:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:13:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:13:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:13:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:13:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:13:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:14:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:14:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:14:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:14:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:14:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:14:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:14:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:14:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
