2020-04-11 15:54:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.737e-05, 	5.0, 	2.475533%, 	0.250000%, 	2.225533%
2020-04-11 15:55:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.734e-05, 	6.0, 	2.652826%, 	0.250000%, 	2.402826%
2020-04-11 15:55:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.742e-05, 	512.0, 	2.181401%, 	0.250000%, 	1.931401%
2020-04-11 15:55:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.74e-05, 	464.0, 	2.298851%, 	0.250000%, 	2.048851%
2020-04-11 15:55:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.734e-05, 	516.0, 	2.652826%, 	0.250000%, 	2.402826%
2020-04-11 15:56:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.733e-05, 	267.0, 	2.712060%, 	0.250000%, 	2.462060%
2020-04-11 15:56:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.734e-05, 	502.0, 	2.652826%, 	0.250000%, 	2.402826%
2020-04-11 15:56:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.738e-05, 	8.0, 	2.416571%, 	0.250000%, 	2.166571%
2020-04-11 15:56:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.738e-05, 	8.0, 	2.416571%, 	0.250000%, 	2.166571%
2020-04-11 15:57:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.731e-05, 	350.0, 	2.830734%, 	0.250000%, 	2.580734%
2020-04-11 15:57:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.731e-05, 	350.0, 	2.830734%, 	0.250000%, 	2.580734%
2020-04-11 15:57:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.731e-05, 	327.0, 	2.830734%, 	0.250000%, 	2.580734%
