2020-04-10 17:39:30, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17821, 	2000.0, 	0.1732, 	2000.0, 	2.892610%, 	0.400000%, 	2.492610%
2020-04-10 17:39:45, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17734, 	2000.0, 	0.1732, 	2000.0, 	2.390300%, 	0.400000%, 	1.990300%
2020-04-10 17:40:00, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17754, 	2000.0, 	0.173, 	2000.0, 	2.624277%, 	0.400000%, 	2.224277%
2020-04-10 17:40:15, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17754, 	2000.0, 	0.173, 	2000.0, 	2.624277%, 	0.400000%, 	2.224277%
2020-04-10 17:40:30, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17693, 	2000.0, 	0.1731, 	2500.0, 	2.212594%, 	0.400000%, 	1.812594%
2020-04-10 17:40:45, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17698, 	2000.0, 	0.1726, 	2000.0, 	2.537659%, 	0.400000%, 	2.137659%
2020-04-10 17:41:00, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17698, 	2000.0, 	0.1726, 	2000.0, 	2.537659%, 	0.400000%, 	2.137659%
2020-04-10 17:41:15, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17693, 	2000.0, 	0.1731, 	2500.0, 	2.212594%, 	0.400000%, 	1.812594%
2020-04-10 17:41:30, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17693, 	2000.0, 	0.1731, 	2500.0, 	2.212594%, 	0.400000%, 	1.812594%
2020-04-10 17:41:45, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1732, 	602.44524951, 	0.1719, 	2000.0, 	0.756254%, 	0.400000%, 	0.356254%
2020-04-10 17:42:00, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17595, 	2000.0, 	0.1719, 	2000.0, 	2.356021%, 	0.400000%, 	1.956021%
2020-04-10 17:42:15, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1757, 	2000.0, 	0.1713, 	2000.0, 	2.568593%, 	0.400000%, 	2.168593%
2020-04-10 17:42:30, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17543, 	2000.0, 	0.1711, 	2000.0, 	2.530684%, 	0.400000%, 	2.130684%
2020-04-10 17:42:45, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.15101, 	291.19476904, 	0.1716, 	500.0, 	-11.998834%, 	0.400000%, 	-12.398834%
2020-04-11 11:10:20, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16815, 	2000.0, 	0.1672, 	2363.9536, 	0.568182%, 	0.400000%, 	0.168182%
2020-04-11 11:10:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	2249.8193, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:10:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	2249.8193, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:11:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	2249.8193, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:11:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	2247.8259, 	0.687799%, 	0.400000%, 	0.287799%
