2020-04-10 16:19:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21177316.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:19:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20820973.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:19:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20760175.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:19:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21026945.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:20:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21043472.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:20:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20997345.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:20:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21136883.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:20:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21037013.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:21:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21175586.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:21:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21208742.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:21:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21220160.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:21:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21201541.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:22:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21218495.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:22:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21108140.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:22:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20655372.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:22:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20754963.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:23:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21167165.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:23:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21275917.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:23:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21084881.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:23:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20442562.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:24:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20942562.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:24:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21074743.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:24:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21152747.0, 	2.127660%, 	0.300000%, 	1.827660%
