2020-04-09 21:50:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:50:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:51:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:51:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:51:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:51:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:52:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:52:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:52:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:52:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:53:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:53:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:53:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:53:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:54:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:54:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:54:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:54:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
