2020-04-08 19:52:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:53:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:53:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:53:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:53:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:54:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	269.35, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:54:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	44.26, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:54:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	44.26, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:54:58, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	44.26, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:55:13, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	44.26, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:55:28, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	43.43, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:55:43, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	43.43, 	0.628931%, 	0.250000%, 	0.378931%
