2020-04-10 17:15:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.473e-05, 	2000.0, 	4.043672%, 	0.400000%, 	3.643672%
2020-04-10 17:16:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.481e-05, 	2000.0, 	3.708182%, 	0.400000%, 	3.308182%
2020-04-10 17:16:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.469e-05, 	2000.0, 	4.212232%, 	0.400000%, 	3.812232%
2020-04-10 17:16:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.466e-05, 	2000.0, 	4.339011%, 	0.400000%, 	3.939011%
2020-04-10 17:16:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.463e-05, 	500.0, 	4.466098%, 	0.400000%, 	4.066098%
2020-04-10 17:17:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.477e-05, 	500.0, 	3.875656%, 	0.400000%, 	3.475656%
2020-04-10 17:17:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.476e-05, 	2000.0, 	3.917609%, 	0.400000%, 	3.517609%
2020-04-10 17:17:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.477e-05, 	500.0, 	3.875656%, 	0.400000%, 	3.475656%
2020-04-10 17:17:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.477e-05, 	2500.0, 	3.875656%, 	0.400000%, 	3.475656%
2020-04-10 17:18:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.477e-05, 	2500.0, 	3.875656%, 	0.400000%, 	3.475656%
2020-04-10 17:18:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.47e-05, 	2000.0, 	4.170040%, 	0.400000%, 	3.770040%
2020-04-10 17:18:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.46e-05, 	2000.0, 	4.593496%, 	0.400000%, 	4.193496%
2020-04-10 17:18:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.458e-05, 	2000.0, 	4.678600%, 	0.400000%, 	4.278600%
2020-04-10 17:19:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.456e-05, 	2000.0, 	4.763844%, 	0.400000%, 	4.363844%
2020-04-10 17:19:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.451e-05, 	2000.0, 	4.977560%, 	0.400000%, 	4.577560%
2020-04-10 17:19:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.452e-05, 	2000.0, 	4.934747%, 	0.400000%, 	4.534747%
2020-04-10 17:19:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.455e-05, 	2000.0, 	4.806517%, 	0.400000%, 	4.406517%
2020-04-10 17:20:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.45e-05, 	500.0, 	5.020408%, 	0.400000%, 	4.620408%
2020-04-10 17:20:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.414e-05, 	500.0, 	6.586578%, 	0.400000%, 	6.186578%
2020-04-10 17:20:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.396e-05, 	2000.0, 	7.387312%, 	0.400000%, 	6.987312%
2020-04-10 17:20:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.366e-05, 	2000.0, 	8.748943%, 	0.400000%, 	8.348943%
2020-04-10 17:21:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.373e-05, 	2000.0, 	8.428150%, 	0.400000%, 	8.028150%
2020-04-10 17:21:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.377e-05, 	2000.0, 	8.245688%, 	0.400000%, 	7.845688%
2020-04-10 17:21:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.397e-05, 	500.0, 	7.342511%, 	0.400000%, 	6.942511%
2020-04-10 17:21:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.409e-05, 	2000.0, 	6.807804%, 	0.400000%, 	6.407804%
2020-04-10 17:22:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	2500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:22:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:22:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	2500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:22:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:23:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:23:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:23:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:23:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:24:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:24:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:24:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.411e-05, 	500.0, 	6.719204%, 	0.400000%, 	6.319204%
2020-04-10 17:24:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.417e-05, 	500.0, 	6.454282%, 	0.400000%, 	6.054282%
2020-04-10 17:25:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.43e-05, 	2000.0, 	5.884774%, 	0.400000%, 	5.484774%
2020-04-10 17:25:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.434e-05, 	2000.0, 	5.710764%, 	0.400000%, 	5.310764%
2020-04-10 17:25:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.436e-05, 	500.0, 	5.623974%, 	0.400000%, 	5.223974%
2020-04-10 17:25:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.436e-05, 	500.0, 	5.623974%, 	0.400000%, 	5.223974%
2020-04-10 17:26:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.449e-05, 	500.0, 	5.063291%, 	0.400000%, 	4.663291%
2020-04-10 17:26:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.475e-05, 	500.0, 	3.959596%, 	0.400000%, 	3.559596%
2020-04-10 17:26:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.488e-05, 	2000.0, 	3.416399%, 	0.400000%, 	3.016399%
2020-04-10 17:26:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.493e-05, 	2500.0, 	3.208985%, 	0.400000%, 	2.808985%
2020-04-10 17:27:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.507e-05, 	15000.0, 	2.632629%, 	0.400000%, 	2.232629%
2020-04-10 17:27:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.507e-05, 	15000.0, 	2.632629%, 	0.400000%, 	2.232629%
2020-04-10 17:27:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.51e-05, 	500.0, 	2.509960%, 	0.400000%, 	2.109960%
2020-04-10 17:27:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.51e-05, 	500.0, 	2.509960%, 	0.400000%, 	2.109960%
2020-04-10 17:28:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.576e-05, 	2000.0, 	2.515e-05, 	1.6971, 	2.425447%, 	0.400000%, 	2.025447%
2020-04-10 17:28:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.579e-05, 	2000.0, 	2.515e-05, 	1.6971, 	2.544732%, 	0.400000%, 	2.144732%
2020-04-10 17:28:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.581e-05, 	2000.0, 	2.515e-05, 	1.6971, 	2.624254%, 	0.400000%, 	2.224254%
2020-04-10 17:28:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.575e-05, 	2000.0, 	2.515e-05, 	1.6971, 	2.385686%, 	0.400000%, 	1.985686%
2020-04-10 17:29:04, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.575e-05, 	2000.0, 	2.515e-05, 	1.6971, 	2.385686%, 	0.400000%, 	1.985686%
2020-04-10 17:29:19, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	2774.74544424, 	2.514e-05, 	2000.0, 	2.346858%, 	0.400000%, 	1.946858%
2020-04-10 17:29:34, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.506e-05, 	2000.0, 	2.673583%, 	0.400000%, 	2.273583%
2020-04-10 17:29:49, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.573e-05, 	774.74544424, 	2.51e-05, 	2500.0, 	2.509960%, 	0.400000%, 	2.109960%
