2020-04-07 22:15:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:15:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:16:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:16:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:17:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:17:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:18:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:18:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:19:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:19:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:20:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:20:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:21:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:21:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:22:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:22:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:23:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:23:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:24:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:24:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:25:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:25:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:26:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:26:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:27:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:27:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:28:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:28:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:29:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:29:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:30:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:30:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:31:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:31:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:32:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:32:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 22:33:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	4336.42400456, 	3.030303%, 	0.350000%, 	2.680303%
