2020-04-10 17:08:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:08:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:09:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:09:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:09:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:09:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:10:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:10:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:10:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:10:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:11:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
