2020-04-11 12:30:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:30:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:30:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:30:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:31:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:31:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:31:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:31:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:31:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:31:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	661596.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:31:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	608412.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:31:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	608412.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:32:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:32:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:32:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:32:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:32:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:32:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:32:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:32:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:33:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:33:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:33:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:33:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:33:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:33:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:33:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:33:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:34:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:34:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:34:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:34:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	591512.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:34:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	559808.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:34:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	559808.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:34:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	559808.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
