2020-04-08 19:35:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:35:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:36:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:36:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:36:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:36:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	0.101, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:37:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.711e-05, 	4999.9, 	2.67e-05, 	0.101, 	1.535581%, 	0.400000%, 	1.135581%
2020-04-08 19:37:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.712e-05, 	800.82875756, 	2.67e-05, 	0.101, 	1.573034%, 	0.400000%, 	1.173034%
2020-04-08 19:37:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.712e-05, 	800.82875756, 	2.67e-05, 	0.101, 	1.573034%, 	0.400000%, 	1.173034%
2020-04-08 19:37:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	803.17445725, 	2.67e-05, 	0.101, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:38:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	803.17445725, 	2.67e-05, 	0.101, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:38:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	803.17445725, 	2.67e-05, 	1683.3526, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:38:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	803.17445725, 	2.67e-05, 	1939.3526, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:38:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	803.17445725, 	2.67e-05, 	256.101, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:39:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	803.17445725, 	2.67e-05, 	256.101, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:39:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.712e-05, 	755.89449138, 	2.67e-05, 	0.101, 	1.573034%, 	0.400000%, 	1.173034%
2020-04-08 19:39:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.712e-05, 	755.89449138, 	2.68e-05, 	28246.067, 	1.194030%, 	0.400000%, 	0.794030%
2020-04-08 19:39:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.712e-05, 	755.89449138, 	2.68e-05, 	27749.067, 	1.194030%, 	0.400000%, 	0.794030%
2020-04-08 19:40:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.712e-05, 	755.89449138, 	2.68e-05, 	28171.8154, 	1.194030%, 	0.400000%, 	0.794030%
2020-04-08 19:40:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	754.79048224, 	2.68e-05, 	31967.8154, 	1.268657%, 	0.400000%, 	0.868657%
2020-04-08 19:40:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	754.79048224, 	2.68e-05, 	26892.6089, 	1.268657%, 	0.400000%, 	0.868657%
2020-04-08 19:40:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	754.79048224, 	2.68e-05, 	28241.6089, 	1.268657%, 	0.400000%, 	0.868657%
2020-04-08 19:41:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	754.79048224, 	2.68e-05, 	29390.1219, 	1.268657%, 	0.400000%, 	0.868657%
2020-04-08 19:41:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	754.79048224, 	2.68e-05, 	29390.1219, 	1.268657%, 	0.400000%, 	0.868657%
2020-04-08 19:41:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	754.79048224, 	2.68e-05, 	29390.1219, 	1.268657%, 	0.400000%, 	0.868657%
2020-04-08 19:41:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	754.79048224, 	2.68e-05, 	38465.1219, 	1.268657%, 	0.400000%, 	0.868657%
2020-04-08 19:42:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.716e-05, 	711.68302759, 	2.68e-05, 	38465.1219, 	1.343284%, 	0.400000%, 	0.943284%
2020-04-08 19:42:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	757.87562091, 	2.68e-05, 	38465.1219, 	1.268657%, 	0.400000%, 	0.868657%
2020-04-08 19:42:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.716e-05, 	94.59408734, 	2.68e-05, 	35557.0057, 	1.343284%, 	0.400000%, 	0.943284%
2020-04-08 19:42:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.716e-05, 	94.59408734, 	2.68e-05, 	26104.4658, 	1.343284%, 	0.400000%, 	0.943284%
2020-04-08 19:43:06, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.716e-05, 	94.59408734, 	2.68e-05, 	31993.6898, 	1.343284%, 	0.400000%, 	0.943284%
2020-04-08 19:43:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.716e-05, 	94.59408734, 	2.68e-05, 	40237.6898, 	1.343284%, 	0.400000%, 	0.943284%
2020-04-08 19:43:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.716e-05, 	94.59408734, 	2.68e-05, 	40237.6898, 	1.343284%, 	0.400000%, 	0.943284%
2020-04-08 19:43:51, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.716e-05, 	94.59408734, 	2.68e-05, 	39637.6898, 	1.343284%, 	0.400000%, 	0.943284%
