2020-04-09 00:41:22, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.028, 	472.922, 	1.02013, 	2449.797, 	0.771470%, 	0.410000%, 	0.361470%
2020-04-09 00:41:37, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0273, 	193.7484, 	1.02013, 	2449.797, 	0.702852%, 	0.410000%, 	0.292852%
2020-04-09 00:41:52, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0276, 	473.1061, 	1.02013, 	2449.797, 	0.732260%, 	0.410000%, 	0.322260%
2020-04-09 00:42:07, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0284, 	279.1969, 	1.02013, 	2449.797, 	0.810681%, 	0.410000%, 	0.400681%
2020-04-09 00:42:22, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0292, 	472.3706, 	1.02013, 	2449.797, 	0.889102%, 	0.410000%, 	0.479102%
2020-04-09 00:42:37, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0277, 	193.673, 	1.02013, 	2449.797, 	0.742062%, 	0.410000%, 	0.332062%
2020-04-09 00:42:52, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0237, 	474.9085, 	1.02013, 	2449.797, 	0.349955%, 	0.410000%, 	-0.060045%
2020-04-09 00:45:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0266, 	193.8806, 	1.01981, 	2450.097, 	0.665810%, 	0.410000%, 	0.255810%
2020-04-09 00:46:06, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0262, 	193.9561, 	1.01981, 	2450.097, 	0.626587%, 	0.410000%, 	0.216587%
2020-04-09 00:46:21, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0263, 	193.9372, 	1.01981, 	2450.097, 	0.636393%, 	0.410000%, 	0.226393%
2020-04-09 00:46:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0263, 	193.9372, 	1.01981, 	2450.097, 	0.636393%, 	0.410000%, 	0.226393%
2020-04-09 00:46:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0259, 	194.0128, 	1.01981, 	2450.097, 	0.597170%, 	0.410000%, 	0.187170%
2020-04-09 00:47:06, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0259, 	194.0128, 	1.01981, 	2450.097, 	0.597170%, 	0.410000%, 	0.187170%
2020-04-09 00:47:21, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0261, 	193.975, 	1.01981, 	2450.097, 	0.616782%, 	0.410000%, 	0.206782%
2020-04-09 00:47:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0259, 	194.0128, 	1.01981, 	2450.097, 	0.597170%, 	0.410000%, 	0.187170%
2020-04-09 00:47:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0237, 	474.9085, 	1.01981, 	2450.097, 	0.381444%, 	0.410000%, 	-0.028556%
2020-04-09 00:56:39, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.025, 	194.1832, 	1.0202, 	2859.943, 	0.470496%, 	0.410000%, 	0.060496%
2020-04-09 00:56:54, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0244, 	194.2969, 	1.01989, 	2793.844, 	0.442205%, 	0.410000%, 	0.032205%
2020-04-09 00:57:09, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0243, 	474.6303, 	1.01989, 	2793.844, 	0.432400%, 	0.410000%, 	0.022400%
2020-04-09 00:57:24, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0251, 	474.26, 	1.01989, 	2793.844, 	0.510839%, 	0.410000%, 	0.100839%
2020-04-09 00:57:39, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.026, 	279.85, 	1.01989, 	2450.204, 	0.599084%, 	0.410000%, 	0.189084%
2020-04-09 00:57:54, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0245, 	194.278, 	1.01989, 	2450.204, 	0.452010%, 	0.410000%, 	0.042010%
2020-04-09 00:58:09, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0244, 	474.584, 	1.01989, 	2450.204, 	0.442205%, 	0.410000%, 	0.032205%
2020-04-09 00:58:24, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0246, 	474.4913, 	1.01989, 	2450.204, 	0.461815%, 	0.410000%, 	0.051815%
