2020-04-08 23:21:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:21:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:21:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:22:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:22:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:22:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:22:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:23:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:23:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:23:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:23:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:24:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:24:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:24:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6388.05077045, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:24:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:25:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:25:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:25:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:25:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:26:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:26:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:26:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:26:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:27:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:27:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:27:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:27:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:28:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:28:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:28:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:28:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:29:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:29:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:29:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:29:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6313.38061973, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:30:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:30:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:30:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:30:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:31:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:31:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:31:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:31:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:32:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:32:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:32:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:32:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:33:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013957, 	77.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:33:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5861.62585903, 	0.00013956, 	3.62007332, 	0.673545%, 	0.450000%, 	0.223545%
