2020-04-09 20:29:38, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:29:53, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.54824, 	155.273, 	1.13756, 	0.893265%, 	0.350000%, 	0.543265%
2020-04-09 20:30:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.20424, 	155.272, 	1.13757, 	0.893915%, 	0.350000%, 	0.543915%
2020-04-09 20:30:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	5.20424, 	158.179, 	19.67421978, 	-0.960304%, 	0.350000%, 	-1.310304%
2020-04-09 23:04:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:04:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:04:38, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:04:53, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:05:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:05:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:05:38, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:05:53, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:06:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.839, 	1.1262, 	0.606354%, 	0.350000%, 	0.256354%
2020-04-09 23:06:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	157.92, 	19.78646392, 	-0.082320%, 	0.350000%, 	-0.432320%
2020-04-10 01:00:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.87, 	6.626, 	0.586473%, 	0.350000%, 	0.236473%
2020-04-10 01:00:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.592, 	1.12798, 	0.765045%, 	0.350000%, 	0.415045%
2020-04-10 01:00:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.59, 	2.908, 	0.766332%, 	0.350000%, 	0.416332%
2020-04-10 01:01:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.592, 	1.12798, 	0.765045%, 	0.350000%, 	0.415045%
2020-04-10 01:01:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.59, 	5.681, 	0.766332%, 	0.350000%, 	0.416332%
2020-04-10 01:01:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.375, 	1.12954, 	0.904876%, 	0.350000%, 	0.554876%
2020-04-10 01:01:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.37, 	4.746, 	0.908103%, 	0.350000%, 	0.558103%
2020-04-10 01:02:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.36, 	4.65, 	0.914556%, 	0.350000%, 	0.564556%
2020-04-10 01:02:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.375, 	1.12954, 	0.904876%, 	0.350000%, 	0.554876%
2020-04-10 01:02:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.282, 	1.13021, 	0.964922%, 	0.350000%, 	0.614922%
