2020-04-11 18:14:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:15:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:15:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:15:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:15:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:16:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:16:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:16:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:16:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:17:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:17:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	13459.228, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:17:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:17:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:18:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:18:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:18:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:18:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:19:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:19:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:19:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:19:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:20:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
