2020-04-09 05:21:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	790371.69933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:21:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:21:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:21:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:22:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:22:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:22:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:22:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:23:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:23:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:23:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:23:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:24:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:24:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:24:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:24:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:25:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:25:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:25:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:25:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:26:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:26:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:26:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:26:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:27:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	744388.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:27:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	733335.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:27:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	733335.887, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-09 05:27:51, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	753046.36933602, 	1.98e-07, 	733335.887, 	1.010101%, 	0.350000%, 	0.660101%
