2020-04-09 11:53:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:53:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:53:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:54:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:54:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:54:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:54:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:55:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:55:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:55:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:55:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:56:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:56:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	36087.7986, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:56:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	35142.3697, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:56:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	35142.3697, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:57:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	36000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:57:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	36000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:57:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	34000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:57:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	35428.3697, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:58:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	35428.3697, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:58:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	39142.3697, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:58:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	38000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:58:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	38000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:59:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	36571.3697, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:59:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002565, 	14084.0, 	1.208577%, 	0.350000%, 	0.858577%
2020-04-09 11:59:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002565, 	14084.0, 	1.208577%, 	0.350000%, 	0.858577%
2020-04-09 11:59:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002565, 	14084.0, 	1.208577%, 	0.350000%, 	0.858577%
2020-04-09 12:00:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002565, 	14084.0, 	1.208577%, 	0.350000%, 	0.858577%
2020-04-09 12:00:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	37428.3696, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 12:00:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	38000.0, 	1.129723%, 	0.350000%, 	0.779723%
