2020-04-07 21:43:18, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.5120542, 	5.7, 	53.92, 	30.71631838, 	2.952623%, 	0.240000%, 	2.712623%
2020-04-07 21:43:48, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.42761702, 	0.01805779, 	53.9, 	86.47734225, 	2.834169%, 	0.240000%, 	2.594169%
2020-04-07 21:44:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.42761702, 	0.01805779, 	53.89, 	43.6966659, 	2.853251%, 	0.240000%, 	2.613251%
2020-04-07 21:44:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.42761702, 	0.01805779, 	53.88, 	11.50437, 	2.872340%, 	0.240000%, 	2.632340%
2020-04-07 21:45:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.42761702, 	0.01805779, 	53.87, 	7.4, 	2.891437%, 	0.240000%, 	2.651437%
2020-04-07 21:45:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.166152, 	0.02706041, 	53.87, 	7.0, 	2.406074%, 	0.240000%, 	2.166074%
2020-04-07 21:46:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.26131082, 	55.6880098, 	53.86, 	7.4, 	2.601765%, 	0.240000%, 	2.361765%
2020-04-07 21:46:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.16615625, 	5.7, 	53.84, 	7.4, 	2.463143%, 	0.240000%, 	2.223143%
2020-04-07 21:47:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.21131116, 	5.7, 	53.83, 	7.0, 	2.566062%, 	0.240000%, 	2.326062%
2020-04-07 21:47:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.31649656, 	11.50437, 	53.82, 	223.56355502, 	2.780558%, 	0.240000%, 	2.540558%
2020-04-07 21:48:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.49316846, 	0.01803645, 	53.81, 	7.4, 	3.127985%, 	0.240000%, 	2.887985%
2020-04-07 21:48:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.26897278, 	5.7, 	53.81, 	3.7, 	2.711341%, 	0.240000%, 	2.471341%
2020-04-07 21:49:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.30891306, 	11.50437, 	53.8, 	74.3812649, 	2.804671%, 	0.240000%, 	2.564671%
2020-04-07 21:49:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.31583836, 	11.50437, 	53.8, 	7.0, 	2.817543%, 	0.240000%, 	2.577543%
2020-04-07 21:50:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.32253657, 	11.50437, 	53.78, 	7.0, 	2.868235%, 	0.240000%, 	2.628235%
2020-04-07 21:50:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.17183716, 	3.71, 	53.78, 	9.659934, 	2.588020%, 	0.240000%, 	2.348020%
2020-04-07 21:51:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.22284774, 	55.5286861, 	53.76, 	59.3343428, 	2.721071%, 	0.240000%, 	2.481071%
2020-04-07 21:51:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.22738444, 	42.5558275, 	53.76, 	57.9344385, 	2.729510%, 	0.240000%, 	2.489510%
2020-04-07 21:52:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.20029529, 	7.0, 	53.75, 	7.0, 	2.698224%, 	0.240000%, 	2.458224%
2020-04-07 21:52:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.21503817, 	7.0, 	53.75, 	9.630423, 	2.725652%, 	0.240000%, 	2.485652%
2020-04-07 21:53:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.18323162, 	11.50437, 	53.75, 	9.669771, 	2.666477%, 	0.240000%, 	2.426477%
2020-04-07 21:53:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.19963716, 	11.50437, 	53.73, 	7.0, 	2.735226%, 	0.240000%, 	2.495226%
