2020-04-09 14:55:09, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.464, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:55:24, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:55:39, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:55:54, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:56:09, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:56:24, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.6652, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:56:39, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:56:54, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:57:09, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:57:24, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 14:57:39, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 14:57:54, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.6652, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:58:09, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:58:24, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:58:39, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:58:54, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:59:09, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:59:24, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	2008.5646, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:59:39, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.6652, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:59:55, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 15:00:10, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 15:00:25, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9984, 	2008.7659, 	1.161859%, 	0.350000%, 	0.811859%
2020-04-09 15:00:40, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	4093.2238, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 15:00:55, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2529.7632, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 15:01:10, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	2529.0894, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 15:01:25, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.6652, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 15:01:40, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.6652, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 15:01:55, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	2008.5646, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 15:02:10, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 15:02:25, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 15:02:40, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2008.6652, 	1.151728%, 	0.350000%, 	0.801728%
2020-04-09 15:02:55, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 15:03:10, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 15:03:25, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.3634, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 15:03:40, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.464, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 15:03:55, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.6652, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 15:04:10, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	0.99624, 	13325.07138329, 	0.9987, 	2008.464, 	-0.246320%, 	0.350000%, 	-0.596320%
