2020-04-08 12:58:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5925.9, 	15.9368476, 	5891.7, 	0.05286658, 	0.580478%, 	0.460000%, 	0.120478%
2020-04-08 12:58:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5927.6, 	0.48, 	5893.3, 	0.09865, 	0.582017%, 	0.460000%, 	0.122017%
2020-04-08 12:58:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5928.8, 	15.14636327, 	5895.1, 	1.299, 	0.571661%, 	0.460000%, 	0.111661%
2020-04-08 12:59:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5932.8, 	0.0054, 	5903.2, 	0.83234908, 	0.501423%, 	0.460000%, 	0.041423%
2020-04-08 12:59:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5934.2, 	7.21089469, 	5900.3, 	0.20871306, 	0.574547%, 	0.460000%, 	0.114547%
2020-04-08 12:59:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5935.9, 	0.0383501, 	5907.8, 	0.26814257, 	0.475642%, 	0.460000%, 	0.015642%
2020-04-08 12:59:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5936.6, 	0.2, 	5902.3, 	0.1716499, 	0.581129%, 	0.460000%, 	0.121129%
2020-04-08 13:00:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5937.0, 	0.43068118, 	5901.2, 	0.24960457, 	0.606656%, 	0.460000%, 	0.146656%
2020-04-08 13:00:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5937.5, 	0.01983822, 	5902.3, 	1.98214719, 	0.596378%, 	0.460000%, 	0.136378%
2020-04-08 13:00:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5938.5, 	16.04102676, 	5906.8, 	0.36972233, 	0.536670%, 	0.460000%, 	0.076670%
2020-04-08 13:00:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5942.2, 	13.71684777, 	5915.3, 	0.18798, 	0.454753%, 	0.460000%, 	-0.005247%
2020-04-08 13:25:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5906.7, 	2.28394502, 	5873.4, 	0.68215695, 	0.566963%, 	0.460000%, 	0.106963%
2020-04-08 13:25:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5906.8, 	1.10086867, 	5873.4, 	7.69403162, 	0.568666%, 	0.460000%, 	0.108666%
2020-04-08 13:25:35, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5900.8, 	0.0006, 	5872.9, 	18.48865519, 	0.475063%, 	0.460000%, 	0.015063%
2020-04-08 13:25:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5894.7, 	0.00136824, 	5867.3, 	12.05951097, 	0.466995%, 	0.460000%, 	0.006995%
2020-04-08 13:26:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5882.6, 	0.47491918, 	5852.7, 	0.145, 	0.510875%, 	0.460000%, 	0.050875%
2020-04-08 13:26:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5884.3, 	2.0, 	5864.4, 	0.45321614, 	0.339336%, 	0.460000%, 	-0.120664%
2020-04-08 13:34:55, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5911.6, 	18.78142943, 	5876.0, 	1.70381762, 	0.605854%, 	0.460000%, 	0.145854%
2020-04-08 13:35:10, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5911.9, 	18.54654384, 	5876.0, 	1.70381762, 	0.610960%, 	0.460000%, 	0.150960%
2020-04-08 13:35:25, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5903.8, 	0.11999969, 	5872.9, 	0.46619132, 	0.526146%, 	0.460000%, 	0.066146%
2020-04-08 13:35:40, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5905.0, 	3.23337884, 	5872.9, 	0.46619132, 	0.546578%, 	0.460000%, 	0.086578%
2020-04-08 13:35:55, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5906.5, 	1.71999969, 	5876.0, 	2.02566395, 	0.519061%, 	0.460000%, 	0.059061%
2020-04-08 13:36:10, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5907.5, 	0.27338823, 	5874.8, 	0.14055196, 	0.556615%, 	0.460000%, 	0.096615%
2020-04-08 13:36:25, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5902.8, 	0.27717925, 	5875.5, 	0.08598141, 	0.464641%, 	0.460000%, 	0.004641%
2020-04-08 13:36:40, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5903.7, 	0.0054, 	5878.1, 	0.5, 	0.435515%, 	0.460000%, 	-0.024485%
2020-04-08 14:06:36, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5930.3, 	0.1699747, 	5900.6, 	0.25307992, 	0.503339%, 	0.460000%, 	0.043339%
2020-04-08 14:06:51, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5930.7, 	1.98, 	5897.9, 	0.23907992, 	0.556130%, 	0.460000%, 	0.096130%
2020-04-08 14:07:06, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5931.2, 	0.485, 	5901.2, 	0.83, 	0.508371%, 	0.460000%, 	0.048371%
2020-04-08 14:07:21, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5930.2, 	0.28142351, 	5900.6, 	0.0054, 	0.501644%, 	0.460000%, 	0.041644%
2020-04-08 14:07:36, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5930.7, 	0.0054, 	5899.3, 	0.23907992, 	0.532267%, 	0.460000%, 	0.072267%
2020-04-08 14:07:51, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5930.5, 	0.0054, 	5899.0, 	0.53, 	0.533989%, 	0.460000%, 	0.073989%
2020-04-08 14:08:06, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5920.5, 	0.025, 	5897.2, 	8.97288081, 	0.395103%, 	0.460000%, 	-0.064897%
2020-04-08 15:02:59, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5879.5, 	0.01712611, 	5844.9, 	0.0054, 	0.591969%, 	0.460000%, 	0.131969%
2020-04-08 15:03:14, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5880.3, 	0.45337612, 	5845.8, 	5.05115719, 	0.590167%, 	0.460000%, 	0.130167%
2020-04-08 15:03:29, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5880.4, 	0.01712212, 	5845.7, 	2.93411103, 	0.593599%, 	0.460000%, 	0.133599%
2020-04-08 15:03:44, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5880.3, 	0.0171193, 	5846.7, 	1.83069139, 	0.574683%, 	0.460000%, 	0.114683%
2020-04-08 15:03:59, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5880.6, 	0.0006, 	5845.4, 	6.9091, 	0.602183%, 	0.460000%, 	0.142183%
2020-04-08 15:04:14, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5881.1, 	0.02112351, 	5845.0, 	0.695, 	0.617622%, 	0.460000%, 	0.157622%
2020-04-08 15:04:29, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5874.4, 	1.66967609, 	5841.8, 	0.694, 	0.558047%, 	0.460000%, 	0.098047%
2020-04-08 15:04:44, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5875.0, 	0.004, 	5842.1, 	1.01933037, 	0.563154%, 	0.460000%, 	0.103154%
2020-04-08 15:04:59, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5875.7, 	1.21969816, 	5841.8, 	0.694, 	0.580301%, 	0.460000%, 	0.120301%
2020-04-08 15:05:14, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5876.7, 	5.77699072, 	5845.8, 	0.295718, 	0.528585%, 	0.460000%, 	0.068585%
2020-04-08 15:05:29, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5878.3, 	2.31043692, 	5845.8, 	0.26716692, 	0.555955%, 	0.460000%, 	0.095955%
2020-04-08 15:05:44, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5879.5, 	0.34043692, 	5845.8, 	3.49153692, 	0.576482%, 	0.460000%, 	0.116482%
2020-04-08 15:05:59, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5878.9, 	0.73841669, 	5842.4, 	8.86544683, 	0.624743%, 	0.460000%, 	0.164743%
2020-04-08 17:38:36, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5932.6, 	0.303, 	5902.4, 	8.33559307, 	0.511656%, 	0.460000%, 	0.051656%
2020-04-08 17:38:51, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5927.5, 	0.048, 	5902.3, 	0.605, 	0.426952%, 	0.460000%, 	-0.033048%
2020-04-08 17:44:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5930.6, 	0.011, 	5898.5, 	0.49948721, 	0.544206%, 	0.460000%, 	0.084206%
2020-04-08 17:45:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5933.0, 	0.011, 	5899.3, 	0.27152889, 	0.571254%, 	0.460000%, 	0.111254%
2020-04-08 17:45:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5935.2, 	0.011, 	5899.3, 	0.25799208, 	0.608547%, 	0.460000%, 	0.148547%
2020-04-08 17:45:35, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5937.3, 	0.011, 	5899.3, 	0.02646319, 	0.644144%, 	0.460000%, 	0.184144%
2020-04-08 17:45:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5937.8, 	0.318, 	5899.4, 	0.22848237, 	0.650914%, 	0.460000%, 	0.190914%
2020-04-08 17:46:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5940.0, 	0.011, 	5906.5, 	0.00082309, 	0.567172%, 	0.460000%, 	0.107172%
2020-04-08 17:46:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5941.4, 	0.303, 	5906.5, 	0.00082309, 	0.590874%, 	0.460000%, 	0.130874%
2020-04-08 17:46:35, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5941.7, 	0.303, 	5907.7, 	0.56791968, 	0.575520%, 	0.460000%, 	0.115520%
2020-04-08 17:46:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5943.9, 	0.34, 	5912.8, 	0.2, 	0.525978%, 	0.460000%, 	0.065978%
2020-04-08 17:47:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5943.5, 	0.303, 	5913.7, 	0.73758689, 	0.503915%, 	0.460000%, 	0.043915%
2020-04-08 17:47:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5940.7, 	0.314, 	5907.0, 	3.8054, 	0.570510%, 	0.460000%, 	0.110510%
2020-04-08 17:47:35, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5939.8, 	0.011, 	5907.3, 	10.49835717, 	0.550167%, 	0.460000%, 	0.090167%
2020-04-08 17:47:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5940.1, 	0.011, 	5904.2, 	13.47473568, 	0.608042%, 	0.460000%, 	0.148042%
2020-04-08 17:48:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5935.3, 	0.011, 	5904.5, 	9.9674294, 	0.521636%, 	0.460000%, 	0.061636%
2020-04-08 17:48:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5936.2, 	0.011, 	5904.5, 	10.49689513, 	0.536879%, 	0.460000%, 	0.076879%
2020-04-08 17:48:35, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5936.2, 	0.011, 	5901.4, 	0.19421867, 	0.589691%, 	0.460000%, 	0.129691%
2020-04-08 17:48:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5936.8, 	0.011, 	5903.6, 	0.44670533, 	0.562369%, 	0.460000%, 	0.102369%
2020-04-08 17:49:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5937.3, 	0.011, 	5904.7, 	1.11276577, 	0.552103%, 	0.460000%, 	0.092103%
2020-04-08 17:49:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5939.1, 	0.011, 	5905.6, 	5.54670533, 	0.567258%, 	0.460000%, 	0.107258%
2020-04-08 17:49:35, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5938.0, 	0.026, 	5905.6, 	9.44006848, 	0.548632%, 	0.460000%, 	0.088632%
2020-04-08 17:49:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5933.1, 	0.9, 	5902.1, 	0.19421867, 	0.525237%, 	0.460000%, 	0.065237%
2020-04-08 17:50:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5932.5, 	0.021, 	5898.9, 	0.72732181, 	0.569598%, 	0.460000%, 	0.109598%
2020-04-08 17:50:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5934.5, 	0.005, 	5905.9, 	0.44670533, 	0.484262%, 	0.460000%, 	0.024262%
2020-04-08 17:50:35, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5936.0, 	0.005, 	5904.8, 	10.07839995, 	0.528384%, 	0.460000%, 	0.068384%
2020-04-08 17:50:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5935.4, 	0.005, 	5902.9, 	4.14293196, 	0.550577%, 	0.460000%, 	0.090577%
2020-04-08 17:51:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5934.8, 	0.005, 	5902.9, 	0.14293196, 	0.540412%, 	0.460000%, 	0.080412%
2020-04-08 17:51:20, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5932.8, 	0.296, 	5903.7, 	0.14293196, 	0.492911%, 	0.460000%, 	0.032911%
2020-04-08 17:51:35, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5934.6, 	0.021, 	5901.9, 	0.0054, 	0.554059%, 	0.460000%, 	0.094059%
2020-04-08 17:51:50, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5935.9, 	0.005, 	5901.9, 	0.0054, 	0.576086%, 	0.460000%, 	0.116086%
2020-04-08 17:52:05, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5936.3, 	0.303, 	5902.3, 	0.51471821, 	0.576047%, 	0.460000%, 	0.116047%
