2020-04-11 18:13:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:13:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:13:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:13:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:14:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:14:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:14:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:14:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:15:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:15:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:15:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:15:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:16:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:16:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:16:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:16:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:17:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	494.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:17:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	107.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:17:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	1213.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:17:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	786.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:18:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	908.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:18:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	1100.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:18:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	398.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:18:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	398.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:19:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	398.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:19:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	398.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:19:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	291.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:19:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.342e-05, 	11659.0, 	3.303e-05, 	15.48838758, 	1.180745%, 	0.350000%, 	0.830745%
2020-04-11 18:20:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.342e-05, 	7713.0, 	3.303e-05, 	15.48838758, 	1.180745%, 	0.350000%, 	0.830745%
2020-04-11 18:20:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.343e-05, 	749.0, 	3.303e-05, 	15.48838758, 	1.211020%, 	0.350000%, 	0.861020%
2020-04-11 18:20:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.347e-05, 	723.0, 	3.303e-05, 	15.48838758, 	1.332122%, 	0.350000%, 	0.982122%
2020-04-11 18:20:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.347e-05, 	723.0, 	3.303e-05, 	15.48838758, 	1.332122%, 	0.350000%, 	0.982122%
