2020-04-10 04:04:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	198670.1, 	0.00385, 	74465.448, 	0.000000%, 	0.250000%, 	-0.250000%
2020-04-10 04:28:50, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1661381.9, 	0.00377, 	42173.251, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:29:05, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1661381.9, 	0.00377, 	27394.251, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:29:20, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1661381.9, 	0.00377, 	27394.251, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:29:35, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1661381.9, 	0.00377, 	27394.251, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:29:50, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1661381.9, 	0.00377, 	27394.251, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:30:05, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1661381.9, 	0.00377, 	27394.251, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:30:20, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1661381.9, 	0.00377, 	27394.251, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:30:35, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1661381.9, 	0.00376, 	60856.723, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:30:50, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1658264.7, 	0.00376, 	57739.523, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:31:05, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1664291.8, 	0.00376, 	57739.523, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:31:20, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1658264.7, 	0.00376, 	57739.523, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:31:35, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1658264.7, 	0.00376, 	57739.523, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:31:50, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1655147.5, 	0.00376, 	54622.323, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:32:05, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1655147.5, 	0.00376, 	54622.323, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:32:20, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1655147.5, 	0.00376, 	7718.723, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:32:35, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1659031.8, 	0.00377, 	42032.251, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:32:50, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1652030.3, 	0.00377, 	14638.0, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:33:05, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1652030.3, 	0.00377, 	38915.051, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:33:20, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1652030.3, 	0.00377, 	38915.051, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:33:35, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1648913.1, 	0.00377, 	35797.851, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:33:50, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1645795.9, 	0.00377, 	32681.661, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:34:05, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1642678.7, 	0.00377, 	29564.461, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:34:20, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1639561.5, 	0.00377, 	26447.261, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:34:35, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1643474.0, 	0.00377, 	26447.261, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:34:50, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1639561.5, 	0.00377, 	26447.261, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:35:05, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1639561.5, 	0.00377, 	2170.21, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-10 04:35:20, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1639561.5, 	0.00376, 	5333.671, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:35:35, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1639561.5, 	0.00376, 	63077.157, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:35:50, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1296509.0, 	0.00376, 	89676.902, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:36:05, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1296509.0, 	0.00376, 	89676.902, 	0.531915%, 	0.250000%, 	0.281915%
2020-04-10 04:36:20, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	1296509.0, 	0.00376, 	89676.902, 	0.531915%, 	0.250000%, 	0.281915%
