2020-04-10 18:30:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:30:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:30:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:30:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:31:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:31:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:31:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:31:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:32:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:32:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:32:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:32:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:33:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:33:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:33:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:33:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:34:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.65e-05, 	23.1578, 	-0.150943%, 	0.240000%, 	-0.390943%
