2020-04-11 11:22:55, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:23:10, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:23:25, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:23:40, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:23:55, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:24:10, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:24:25, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:24:40, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:24:55, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.266e-05, 	7.0, 	0.176523%, 	0.190000%, 	-0.013477%
2020-04-11 12:23:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1269.28334481, 	2.252e-05, 	255.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:23:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1269.28334481, 	2.252e-05, 	255.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:23:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1269.28334481, 	2.252e-05, 	255.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:23:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1269.28334481, 	2.259e-05, 	35.0, 	0.531208%, 	0.190000%, 	0.341208%
2020-04-11 12:24:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1269.28334481, 	2.259e-05, 	35.0, 	0.531208%, 	0.190000%, 	0.341208%
2020-04-11 12:24:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1269.28334481, 	2.259e-05, 	35.0, 	0.531208%, 	0.190000%, 	0.341208%
2020-04-11 12:24:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1269.28334481, 	2.259e-05, 	35.0, 	0.531208%, 	0.190000%, 	0.341208%
2020-04-11 12:24:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1269.28334481, 	2.257e-05, 	35.0, 	0.620292%, 	0.190000%, 	0.430292%
