2020-04-08 18:49:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079095, 	80.0, 	1.144194%, 	0.460000%, 	0.684194%
2020-04-08 18:50:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000798, 	85.31, 	0.0007914, 	30.09912123, 	0.833965%, 	0.460000%, 	0.373965%
2020-04-08 18:50:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079192, 	80.0, 	0.767754%, 	0.460000%, 	0.307754%
2020-04-08 18:50:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079187, 	80.0, 	0.774117%, 	0.460000%, 	0.314117%
2020-04-08 18:50:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079185, 	80.0, 	0.776662%, 	0.460000%, 	0.316662%
2020-04-08 18:51:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079188, 	30.08421669, 	0.772844%, 	0.460000%, 	0.312844%
2020-04-08 18:51:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000798, 	84.31, 	0.00079185, 	110.107005, 	0.776662%, 	0.460000%, 	0.316662%
2020-04-08 18:51:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079145, 	80.0, 	0.701245%, 	0.460000%, 	0.241245%
2020-04-08 18:51:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	88.884, 	0.00079128, 	80.0, 	0.722879%, 	0.460000%, 	0.262879%
2020-04-08 18:52:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	88.284, 	0.00079111, 	80.0, 	0.744524%, 	0.460000%, 	0.284524%
2020-04-08 18:52:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	81.184, 	0.00079076, 	361.44760042, 	0.789114%, 	0.460000%, 	0.329114%
2020-04-08 18:52:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	76.306, 	0.00079076, 	361.44760042, 	0.789114%, 	0.460000%, 	0.329114%
2020-04-08 18:52:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	29.3, 	0.00079076, 	361.44760042, 	0.789114%, 	0.460000%, 	0.329114%
2020-04-08 18:53:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079075, 	42.00153282, 	0.663927%, 	0.460000%, 	0.203927%
2020-04-08 18:53:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079076, 	361.44760042, 	0.789114%, 	0.460000%, 	0.329114%
